CASE ID,TEST,TEST,Events from start,Events from end
201710000981,18.402067184448242,385.8934375,1,10
201710000981,16.166500091552734,260.7051157407407,2,9
201710000981,15.475225448608398,260.68435185185183,3,8
201710000981,4.010587692260742,245.8737152777778,4,7
201710000981,10.916568756103516,120.96938657407408,5,6
201710000981,3.740314245223999,118.72118055555555,6,5
201710000981,11.056396484375,6.992361111111111,7,4
201710000981,3.5042245388031006,1.896273148148148,8,3
201710000981,2.1704633235931396,1.896064814814815,9,2
201710000981,0.5649576187133789,0.2458101851851852,10,1
201710001376,8.376287460327148,357.84054398148146,1,6
201710001376,7.7370781898498535,328.79375,2,5
201710001376,5.607490062713623,1.8296180555555555,3,4
201710001376,1.8664355278015137,1.7997337962962963,4,3
201710001376,1.7894216775894165,1.797662037037037,5,2
201710001376,1.6349197626113892,0.20554398148148148,6,1
201710002089,8.371783256530762,368.7189236111111,1,5
201710002089,7.692388534545898,4.393391203703704,2,4
201710002089,5.482480525970459,4.392569444444445,3,3
201710002089,1.8691238164901733,1.4190509259259259,4,2
201710002089,1.7765675783157349,1.4169791666666667,5,1
201710002102,8.375649452209473,344.71416666666664,1,5
201710002102,5.849578857421875,344.7126736111111,2,4
201710002102,3.320744037628174,5.489664351851852,3,3
201710002102,1.7892866134643555,1.6981712962962963,4,2
201710002102,1.7759284973144531,1.697650462962963,5,1
201710002200,18.372737884521484,94.48858796296297,1,7
201710002200,16.193988800048828,94.48766203703704,2,6
201710002200,15.251432418823242,88.68788194444444,3,5
201710002200,4.010521411895752,84.50065972222222,4,4
201710002200,10.877304077148438,30.448923611111113,5,3
201710002200,3.6061737537384033,1.745462962962963,6,2
201710002200,3.9750025272369385,1.7436226851851853,7,1
201710002376,7.749759674072266,340.49820601851854,1,5
201710002376,7.0587968826293945,269.3980555555556,2,4
201710002376,5.478839874267578,1.7070370370370371,3,3
201710002376,1.8657660484313965,1.6202314814814816,4,2
201710002376,1.780177354812622,1.6197453703703704,5,1
201710002452,8.369293212890625,346.65270833333335,1,8
201710002452,5.442312240600586,339.63697916666666,2,7
201710002452,4.668278217315674,331.90783564814814,3,6
201710002452,1.8295468091964722,331.678587962963,4,5
201710002452,6.065115928649902,1.9793634259259258,5,4
201710002452,1.874933123588562,1.9224074074074073,6,3
201710002452,1.794743537902832,1.9208564814814815,7,2
201710002452,1.7160868644714355,0.20668981481481483,8,1
201710002672,8.376089096069336,350.6506712962963,1,5
201710002672,6.751605033874512,1.5181018518518519,2,4
201710002672,5.877488136291504,1.515300925925926,3,3
201710002672,1.8777081966400146,1.4150578703703705,4,2
201710002672,1.7875685691833496,1.4141319444444445,5,1
201710002691,18.409151077270508,353.64613425925927,1,5
