CASE ID,Predictions,TEST,Events from start,Events from end
201710000981,18.492182,385.8934375,1,10
201710000981,15.463383,260.7051157407407,2,9
201710000981,13.427991,260.68435185185183,3,8
201710000981,3.9343157,245.8737152777778,4,7
201710000981,10.430804,120.96938657407408,5,6
201710000981,3.6704087,118.72118055555555,6,5
201710000981,10.610776,6.992361111111111,7,4
201710000981,3.7128775,1.896273148148148,8,3
201710000981,2.9832196,1.896064814814815,9,2
201710000981,1.638921,0.2458101851851852,10,1
201710001376,7.559563,357.84054398148146,1,6
201710001376,6.5502396,328.79375,2,5
201710001376,5.042909,1.8296180555555555,3,4
201710001376,1.8587601,1.7997337962962963,4,3
201710001376,1.8481277,1.797662037037037,5,2
201710001376,1.6045591,0.20554398148148148,6,1
201710002089,7.764869,368.7189236111111,1,5
201710002089,6.606981,4.393391203703704,2,4
201710002089,5.0616417,4.392569444444445,3,3
201710002089,1.8537652,1.4190509259259259,4,2
201710002089,1.8478099,1.4169791666666667,5,1
201710002102,7.2892456,344.71416666666664,1,5
201710002102,6.4891133,344.7126736111111,2,4
201710002102,5.019135,5.489664351851852,3,3
201710002102,1.8658266,1.6981712962962963,4,2
201710002102,1.8488142,1.697650462962963,5,1
201710002200,18.492313,94.48858796296297,1,7
201710002200,15.463372,94.48766203703704,2,6
201710002200,13.427975,88.68788194444444,3,5
201710002200,3.934331,84.50065972222222,4,4
201710002200,10.614022,30.448923611111113,5,3
201710002200,3.6501484,1.745462962962963,6,2
201710002200,2.9242425,1.7436226851851853,7,1
201710002376,8.110362,340.49820601851854,1,5
201710002376,7.041922,269.3980555555556,2,4
201710002376,5.1604614,1.7070370370370371,3,3
201710002376,1.8436745,1.6202314814814816,4,2
201710002376,1.8447251,1.6197453703703704,5,1
201710002452,7.3771143,346.65270833333335,1,8
201710002452,6.507352,339.63697916666666,2,7
201710002452,5.0268345,331.90783564814814,3,6
201710002452,1.8629212,331.678587962963,4,5
201710002452,6.270761,1.9793634259259258,5,4
201710002452,1.8753561,1.9224074074074073,6,3
201710002452,1.852948,1.9208564814814815,7,2
201710002452,1.7031817,0.20668981481481483,8,1
201710002672,7.4004884,350.6506712962963,1,5
201710002672,6.512028,1.5181018518518519,2,4
201710002672,5.155825,1.515300925925926,3,3
201710002672,1.860609,1.4150578703703705,4,2
201710002672,1.8491213,1.4141319444444445,5,1
201710002691,18.492384,353.64613425925927,1,5
201710002691,15.463557,351.77136574074075,2,4
201710002691,13.427983,11.673472222222221,3,3
201710002691,3.9343164,1.6786458333333334,4,2
201710002691,2.6889875,1.6767361111111112,5,1
201710002850,7.3876843,337.4869212962963,1,5
201710002850,6.5187683,2.559849537037037,2,4
201710002850,5.0288606,2.5048032407407406,3,3
201710002850,1.8629223,1.3969791666666667,4,2
201710002850,1.8485947,1.394976851851852,5,1
201710003122,18.492388,365.95056712962963,1,8
201710003122,15.46342,365.9463773148148,2,7
201710003122,13.427973,365.923125,3,6
201710003122,3.934336,365.037650462963,4,5
201710003122,10.558971,14.751157407407407,5,4
201710003122,3.6706555,1.982002314814815,6,3
201710003122,2.9550133,1.979861111111111,7,2
201710003122,1.561614,0.29628472222222224,8,1
201710004294,8.173033,364.6296875,1,5
201710004294,7.1390176,361.5946064814815,2,4
201710004294,5.1806965,2.394976851851852,3,3
201710004294,1.8417003,1.6757638888888888,4,2
201710004294,1.8477188,1.6753935185185185,5,1
201710004986,8.099473,379.46997685185187,1,5
201710004986,6.6768727,379.46947916666664,2,4
201710004986,5.105613,1.770949074074074,3,3
201710004986,1.841558,1.4710532407407408,4,2
201710004986,1.8475367,1.4697222222222222,5,1
201710005100,7.963438,333.7248842592593,1,7
201710005100,6.671903,333.72373842592594,2,6
201710005100,5.1065373,333.72185185185185,3,5
201710005100,1.838587,333.3853125,4,4
201710005100,6.2498713,3.6072337962962964,5,3
201710005100,1.8660958,3.5778125,6,2
201710005100,1.8116937,3.577511574074074,7,1
201710006999,7.289318,329.7097800925926,1,5
201710006999,6.4890494,329.41552083333335,2,4
201710006999,5.1465063,3.6248032407407407,3,3
201710006999,1.8633081,3.5961458333333334,4,2
201710006999,1.8477725,3.594027777777778,5,1
201710007539,10.312434,332.6636921296296,1,7
201710007539,8.105086,45.64167824074074,2,6
201710007539,6.6793046,45.625902777777775,3,5
201710007539,1.7839388,39.75106481481482,4,4
201710007539,6.4781685,10.471203703703704,5,3
201710007539,1.8664246,1.4217824074074075,6,2
201710007539,1.8216361,1.4197569444444444,7,1
201711001064,7.374598,13.508020833333333,1,5
201711001064,6.505949,1.7221296296296296,2,4
201711001064,5.02663,1.7214467592592593,3,3
201711001064,1.8627369,1.6642824074074074,4,2
201711001064,1.8489164,1.6641898148148149,5,1
201711001297,7.35398,322.66856481481483,1,5
201711001297,6.7166123,322.65211805555555,2,4
201711001297,5.0444527,1.5206712962962963,3,3
201711001297,1.8643676,1.4367013888888889,4,2
201711001297,1.8495003,1.436423611111111,5,1
201711001781,7.359231,337.61912037037035,1,5
201711001781,6.505448,325.4374305555556,2,4
201711001781,5.025731,8.344780092592593,3,3
201711001781,1.8632057,1.502164351851852,4,2
201711001781,1.8481351,1.5002893518518519,5,1
201711001832,8.0423,320.8057175925926,1,6
201711001832,7.0891585,3.8174189814814814,2,5
201711001832,5.1501317,3.8167708333333334,3,4
201711001832,1.8495755,3.6641550925925928,4,3
201711001832,1.8481911,3.663275462962963,5,2
201711001832,1.6072872,0.21349537037037036,6,1
201711002306,7.282592,305.8367013888889,1,1
201711002334,8.095146,348.4895138888889,1,5
201711002334,6.7001925,348.48768518518517,2,4
201711002334,5.2978177,6.695625,3,3
201711002334,1.8333688,1.4581712962962963,4,2
201711002334,1.847018,1.4558449074074074,5,1
201711002354,10.314694,194.7337037037037,1,6
201711002354,7.601614,150.69449074074075,2,5
201711002354,6.556589,11.76212962962963,3,4
201711002354,1.7737702,3.7411689814814815,4,3
201711002354,1.8245703,3.740613425925926,5,2
201711002354,1.6078916,2.2401851851851853,6,1
201711002561,10.305662,313.6761111111111,1,7
201711002561,7.9272227,14.63613425925926,2,6
201711002561,6.647717,8.481435185185186,3,5
201711002561,1.7790997,1.6460069444444445,4,4
201711002561,6.248633,1.5720254629629629,5,3
201711002561,1.8718269,1.4674189814814815,6,2
201711002561,1.820434,1.4669675925925927,7,1
201711002728,10.258004,319.5020601851852,1,5
201711002728,8.198268,319.50144675925924,2,4
201711002728,7.1233826,4.605011574074074,3,3
201711002728,1.7875379,1.6512847222222222,4,2
201711002728,1.8245811,1.6504282407407407,5,1
