REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,AUTOMATIC,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,CE_STATE,GENERAL_STATE
201812001131,ACTIVITY 8,2018-12-04 15:56:40.000,2018-12-04 15:57:44.000,CE_UO 266,APPLICANT,HUMAN,Inheritance,,Completed,S000,Conclusa regolarmente
201812001131,ACTIVITY 10,2018-12-04 15:57:44.000,2018-12-04 15:58:12.000,CE_UO 11,APPLICANT,HUMAN,Inheritance,,Completed,S010,Conclusa regolarmente
201810004663,ACTIVITY 8,2018-10-12 10:31:05.000,2018-10-12 10:32:13.000,CE_UO 68,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201810004663,ACTIVITY 10,2018-10-12 10:32:13.000,2018-10-12 10:50:03.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201810004663,ACTIVITY 3,2018-10-12 10:50:03.000,2018-10-12 13:10:05.000,CE_UO 123,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201810004663,ACTIVITY 2,2018-10-12 13:10:05.000,2018-10-16 17:26:28.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S040,Conclusa regolarmente
201810004663,ACTIVITY 1,2018-10-16 17:26:28.000,2018-10-16 17:27:07.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S050,Conclusa regolarmente
201810000288,ACTIVITY 8,2018-10-01 13:15:46.000,2018-10-01 13:16:38.000,CE_UO 347,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201810011190,ACTIVITY 8,2018-10-29 14:55:06.000,2018-10-29 14:55:55.000,CE_UO 375,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201810011190,ACTIVITY 10,2018-10-29 14:55:55.000,2018-10-29 14:59:11.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201810011190,ACTIVITY 3,2018-10-29 14:59:11.000,2018-10-29 15:01:23.000,CE_UO 89,DIRECTOR,HUMAN,Bank Recess,1 - Client lost,Completed,S020,Conclusa regolarmente
201810011190,ACTIVITY 2,2018-10-29 15:01:23.000,2018-10-29 15:55:05.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201811006799,ACTIVITY 8,2018-11-19 12:05:37.000,2018-11-19 12:06:02.000,CE_UO 206,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811006799,ACTIVITY 9,2018-11-19 12:06:02.000,2018-11-19 12:07:08.000,CE_UO 428,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811006799,ACTIVITY 10,2018-12-06 14:29:58.000,2018-12-06 14:30:39.000,CE_UO 428,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811006799,ACTIVITY 2,2018-12-06 14:30:39.000,2018-12-11 12:28:42.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201811006799,ACTIVITY 1,2018-12-11 12:28:42.000,2018-12-11 12:31:09.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201811006799,ACTIVITY 6,2018-12-11 12:31:09.000,2018-12-13 03:06:50.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S051,Conclusa regolarmente
201812005876,ACTIVITY 8,2018-12-17 10:26:46.000,2018-12-17 10:27:05.000,CE_UO 308,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201812005876,ACTIVITY 10,2018-12-17 10:27:05.000,2018-12-17 10:27:46.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201812005876,ACTIVITY 3,2018-12-17 10:27:46.000,2018-12-17 12:41:01.000,CE_UO 101,DIRECTOR,HUMAN,Bank Recess,1 - Client lost,Completed,S020,Conclusa regolarmente
201812005876,ACTIVITY 2,2018-12-17 12:41:01.000,2018-12-19 14:59:59.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201812005876,ACTIVITY 1,2018-12-19 14:59:59.000,2018-12-19 15:03:17.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201812005876,ACTIVITY 6,2018-12-19 15:03:17.000,2018-12-31 07:57:56.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S051,Conclusa regolarmente
201811007817,ACTIVITY 8,2018-11-21 11:11:12.000,2018-11-21 11:11:25.000,CE_UO 153,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811007817,ACTIVITY 10,2018-11-21 11:11:25.000,2018-11-21 11:12:04.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811007817,ACTIVITY 3,2018-11-21 11:12:04.000,2018-11-22 09:25:29.000,CE_UO 120,DIRECTOR,HUMAN,Bank Recess,1 - Client lost,Completed,S020,Conclusa regolarmente
201811007817,ACTIVITY 2,2018-11-22 09:25:29.000,2018-11-27 10:45:47.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201811007817,ACTIVITY 1,2018-11-27 10:45:47.000,2018-11-27 10:47:10.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201811010935,ACTIVITY 8,2018-11-29 08:49:40.000,2018-11-29 08:49:57.000,CE_UO 143,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
